Date,Actual_Temp,Predicted_Temp,Error
2023-07-05,30.0,27.57883982560663,2.4211601743933713
2023-07-06,26.2,27.051722762418652,-0.8517227624186532
2023-07-07,26.9,25.741176487561592,1.1588235124384063
2023-07-08,27.4,25.869030169855364,1.5309698301446346
2023-07-09,27.3,27.252740098146948,0.047259901853053066
2023-07-10,27.1,27.495833443945447,-0.3958334439454454
2023-07-11,28.3,27.72021783174205,0.5797821682579496
2023-07-12,26.1,27.240046602994344,-1.1400466029943424
2023-07-13,28.0,27.211243544561846,0.7887564554381541
2023-07-14,27.8,25.6952364680012,2.104763531998799
2023-07-15,27.1,27.278167214464975,-0.17816721446497397
2023-07-16,27.8,27.020468146309128,0.7795318536908731
2023-07-17,26.7,26.89096086491047,-0.19096086491046904
2023-07-18,25.1,25.848356217678727,-0.748356217678726
2023-07-19,25.3,24.49701497096518,0.8029850290348222
2023-07-20,26.5,26.55182859971835,-0.0518285997183483
2023-07-21,26.4,26.243453231580922,0.15654676841907644
2023-07-22,27.2,26.148644832172533,1.0513551678274666
2023-07-23,25.9,26.313533406216074,-0.41353340621607515
2023-07-24,26.3,26.1287707180355,0.17122928196450005
2023-07-25,25.4,26.287565953260742,-0.8875659532607436
2023-07-26,25.7,25.36998135366309,0.33001864633691014
2023-07-27,24.7,25.02538325727528,-0.3253832572752806
2023-07-28,25.9,26.009188688973296,-0.10918868897329759
2023-07-29,25.0,26.56345163827633,-1.5634516382763302
2023-07-30,26.7,26.45514536693782,0.2448546330621788
2023-07-31,27.2,26.726042401838406,0.47395759816159355
2023-08-01,26.8,26.586198199271433,0.21380180072856803
2023-08-02,26.6,26.427333493527158,0.17266650647284365
2023-08-03,26.2,26.2720434984984,-0.07204349849840241
2023-08-04,27.2,26.41994658633124,0.7800534136687602
2023-08-05,26.9,26.6287172520587,0.27128274794129936
2023-08-06,27.1,26.59244157363586,0.5075584263641417
2023-08-07,27.7,26.588553313304267,1.1114466866957322
2023-08-08,27.8,26.891787712957857,0.9082122870421436
2023-08-09,27.9,26.85808291106302,1.0419170889369802
2023-08-10,27.7,26.93767001521889,0.7623299847811076
2023-08-11,28.2,26.788209839797315,1.4117901602026848
2023-08-12,28.1,26.54929750002061,1.5507024999793906
2023-08-13,27.1,26.683157241392507,0.4168427586074941
2023-08-14,28.1,27.07647302331599,1.0235269766840105
2023-08-15,27.9,26.99615438380604,0.9038456161939585
2023-08-16,28.8,26.914307655107347,1.8856923448926537
2023-08-17,27.7,26.793471852239733,0.906528147760266
2023-08-18,28.8,27.010196453720297,1.7898035462797033
2023-08-19,28.3,27.138263913872,1.161736086128002
2023-08-20,26.9,27.102461721437738,-0.20246172143773933
2023-08-21,28.2,26.940565585136344,1.2594344148636551
2023-08-22,28.5,26.724944306360378,1.7750556936396222
2023-08-23,28.3,26.889345494181544,1.4106545058184565
2023-08-24,28.5,27.099780934749926,1.4002190652500737
2023-08-25,28.4,27.407373550334945,0.9926264496650532
2023-08-26,28.3,27.244020328831642,1.055979671168359
2023-08-27,28.1,27.133468340687806,0.9665316593121958
2023-08-28,28.6,27.10710442131988,1.4928955786801197
2023-08-29,28.9,27.563470812981652,1.3365291870183462
2023-08-30,30.4,27.33955312920066,3.060446870799339
2023-08-31,30.3,27.670450385860253,2.629549614139748
2023-09-01,32.1,27.56761385880494,4.532386141195062
2023-09-02,30.1,27.895943935684528,2.2040560643154734
2023-09-03,29.6,27.212204671610273,2.3877953283897284
2023-09-04,29.6,27.62516841459255,1.9748315854074505
2023-09-05,29.7,27.356870941743523,2.3431290582564763
2023-09-06,29.2,27.201845307232826,1.998154692767173
2023-09-07,27.8,27.184448973707084,0.6155510262929162
2023-09-08,27.5,25.596174151870038,1.9038258481299621
2023-09-09,27.2,27.28550556676297,-0.08550556676297205
2023-09-10,27.8,27.54904265705586,0.2509573429441403
2023-09-11,28.1,27.55612257180012,0.543877428199881
2023-09-12,28.6,27.22850509476155,1.3714949052384497
2023-09-13,28.4,27.731171324181112,0.6688286758188866
2023-09-14,28.9,27.822861103937367,1.0771388960626318
2023-09-15,28.6,27.48547230955765,1.1145276904423511
2023-09-16,26.4,27.96850721934009,-1.5685072193400913
2023-09-17,26.8,27.791051540190505,-0.9910515401905045
2023-09-18,28.0,27.62723966472563,0.37276033527437136
2023-09-19,28.3,28.209954230793983,0.09004576920601792
2023-09-20,28.9,28.70385249543495,0.19614750456504737
2023-09-21,29.8,28.144845801856263,1.6551541981437374
2023-09-22,27.4,26.870314009112477,0.529685990887522
2023-09-23,27.5,27.06268475803018,0.4373152419698201
2023-09-24,27.6,28.38631740766794,-0.7863174076679371
2023-09-25,28.7,28.612852433488236,0.08714756651176359
2023-09-26,29.3,28.206053628244288,1.0939463717557132
2023-09-27,27.9,27.028800311110363,0.8711996888896358
2023-09-28,28.9,28.55547357858056,0.3445264214194381
2023-09-29,29.4,27.629382742579804,1.770617257420195
